date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Nov%202024%2003:06:39%20GMT	https://pdamgowa.co.id/robots.txt		(from )
10:06:32	60121/60121	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:40%20GMT	https://pdamgowa.co.id/	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/index.html	(from )
10:06:32	1709/1709	---M-Z	200	added ('OK')	text/css	etag:%226ad-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/slick/slick.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/slick/slick.css	(from https://pdamgowa.co.id/)
10:06:32	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22c49-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/slick/slick-theme.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/slick/slick-theme.css	(from https://pdamgowa.co.id/)
10:06:33	69727/69727	---M-Z	200	added ('OK')	text/css	etag:%221105f-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/animate.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/animate.css	(from https://pdamgowa.co.id/)
10:06:33	1288637/1288637	---M--	200	added ('OK')	image/png	etag:%2213a9bd-5f2279b8b4dc4%22	https://pdamgowa.co.id/upload/0360c408404efb4a36fc1a4ada5867bb80400452820230114.png	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/0360c408404efb4a36fc1a4ada5867bb80400452820230114.png	(from https://pdamgowa.co.id/)
10:06:33	30713/30713	---M-Z	200	added ('OK')	text/css	etag:%2277f9-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/iconfont.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/iconfont.css	(from https://pdamgowa.co.id/)
10:06:33	38704/38704	---M-Z	200	added ('OK')	text/css	etag:%229730-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/font-awesome.min.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/font-awesome.min.css	(from https://pdamgowa.co.id/)
10:06:33	146302/146302	---M-Z	200	added ('OK')	text/css	etag:%2223b7e-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/bootstrap.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/bootstrap.css	(from https://pdamgowa.co.id/)
10:06:33	7806/7806	---M-Z	200	added ('OK')	text/css	etag:%221e7e-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/magnific-popup.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/magnific-popup.css	(from https://pdamgowa.co.id/)
10:06:34	35467/35467	---M-Z	200	added ('OK')	text/css	etag:%228a8b-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/bootsnav.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/bootsnav.css	(from https://pdamgowa.co.id/)
10:06:34	22674/22674	---M-Z	200	added ('OK')	text/css	etag:%225892-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/style.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/style.css	(from https://pdamgowa.co.id/)
10:06:34	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22767-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/css/responsive.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/css/responsive.css	(from https://pdamgowa.co.id/)
10:06:34	4140/4140	---M-Z	200	added ('OK')	text/css	etag:%22102c-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/js/vendor/fancyapps/source/jquery.fancybox.css?v=2.1.7	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/js/vendor/fancyapps/source/jquery.fancyboxca96.css	(from https://pdamgowa.co.id/)
10:06:35	20106/20106	---M-Z	200	added ('OK')	application/javascript	etag:%224e8a-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from https://pdamgowa.co.id/)
10:06:35	4289/4289	---M-Z	200	added ('OK')	text/css	etag:%2210c1-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/pagescript/custom.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/pagescript/custom.css	(from https://pdamgowa.co.id/)
10:06:35	427/427	---M-Z	200	added ('OK')	text/css	etag:%221ab-5b31f54588a00-gzip%22	https://pdamgowa.co.id/content/themes-1/assets/pagescript/home.css	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/content/themes-1/assets/pagescript/home.css	(from https://pdamgowa.co.id/)
10:06:36	60091/60091	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:43%20GMT	http://pdamgowa.co.id/home	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/home.html	(from https://pdamgowa.co.id/)
10:06:36	28637/28637	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:44%20GMT	http://pdamgowa.co.id/sejarah	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/sejarah.html	(from https://pdamgowa.co.id/)
10:06:36	23103/23103	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:44%20GMT	http://pdamgowa.co.id/gambaran-umum	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/gambaran-umum.html	(from https://pdamgowa.co.id/)
10:06:36	28092/28092	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:44%20GMT	http://pdamgowa.co.id/struktur-organisasi	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/struktur-organisasi.html	(from https://pdamgowa.co.id/)
10:06:37	23063/23063	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:44%20GMT	http://pdamgowa.co.id/pelanggan	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/pelanggan.html	(from https://pdamgowa.co.id/)
10:06:37	27275/27275	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:45%20GMT	http://pdamgowa.co.id/cakupan-layanan-air-bersih	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/cakupan-layanan-air-bersih.html	(from https://pdamgowa.co.id/)
10:06:37	23121/23121	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:45%20GMT	http://pdamgowa.co.id/kapasitas-produksi	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/kapasitas-produksi.html	(from https://pdamgowa.co.id/)
10:06:38	25582/25582	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:45%20GMT	http://pdamgowa.co.id/sumber-air	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/sumber-air.html	(from https://pdamgowa.co.id/)
10:06:38	29997/29997	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:46%20GMT	http://pdamgowa.co.id/info-tagihan	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/info-tagihan.html	(from https://pdamgowa.co.id/)
10:06:38	45943/45943	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:46%20GMT	http://pdamgowa.co.id/keluhan	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/keluhan.html	(from https://pdamgowa.co.id/)
10:06:38	36365/36365	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:46%20GMT	http://pdamgowa.co.id/berita	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/berita.html	(from https://pdamgowa.co.id/)
10:06:39	64995/64995	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:47%20GMT	http://pdamgowa.co.id/gallery	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/gallery.html	(from https://pdamgowa.co.id/)
10:06:39	30751/30751	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:47%20GMT	http://pdamgowa.co.id/contact	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/contact.html	(from https://pdamgowa.co.id/)
10:06:40	60055/60055	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:48%20GMT	https://pdamgowa.co.id/Array	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/Array.html	(from https://pdamgowa.co.id/)
10:06:41	626008/626008	---M--	200	added ('OK')	image/jpeg	etag:%2298d58-5b3f595139040%22	https://pdamgowa.co.id/upload/62bf1edb36141f114521ec4bb417557977742968320201113.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/62bf1edb36141f114521ec4bb417557977742968320201113.jpg	(from https://pdamgowa.co.id/)
10:06:41	630273/630273	---M--	200	added ('OK')	image/jpeg	etag:%2299e01-5b3f607752e00%22	https://pdamgowa.co.id/upload/134ce63057f068a219a0df338fb0b723202363122520201113.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/134ce63057f068a219a0df338fb0b723202363122520201113.jpg	(from https://pdamgowa.co.id/)
10:06:41	340579/340579	---M--	200	added ('OK')	image/jpeg	etag:%2253263-61f236e6ecc56%22	https://pdamgowa.co.id/upload/27cdb62f32d12d5d02d315841fdc5c3e183705846920240808.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/27cdb62f32d12d5d02d315841fdc5c3e183705846920240808.jpg	(from https://pdamgowa.co.id/)
10:06:42	29196/29196	---M--	200	added ('OK')	image/jpeg	etag:%22720c-5b3f68c41c300%22	https://pdamgowa.co.id/upload/small-9fbf42eeaf9c35f9c7729446452f0d8e29666747820201113.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/small-9fbf42eeaf9c35f9c7729446452f0d8e29666747820201113.jpg	(from https://pdamgowa.co.id/)
10:06:42	28774/28774	---M--	200	added ('OK')	image/jpeg	etag:%227066-5b3fc5ca4fbc0%22	https://pdamgowa.co.id/upload/small-0f7b96c554e03206afe4ed65d91a337d153832645020201113.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/small-0f7b96c554e03206afe4ed65d91a337d153832645020201113.jpg	(from https://pdamgowa.co.id/)
10:06:42	43146/43146	---M--	200	added ('OK')	image/jpeg	etag:%22a88a-624a5ff82fb85%22	https://pdamgowa.co.id/upload/small-81affe84921b0f5dfdcb17714ee74381159552238220241017.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/small-81affe84921b0f5dfdcb17714ee74381159552238220241017.jpg	(from https://pdamgowa.co.id/)
10:06:44	35062/35062	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2003:06:50%20GMT	http://pdamgowa.co.id/berita/direktur-utama-perumda-tirta-jeneberang-melaksanakan-umroh-bersama-rombongan-pegawai-penerima-undian-umroh-2024	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/berita/direktur-utama-perumda-tirta-jeneberang-melaksanakan-umroh-bersama-rombongan-pegawai-penerima-undian-umroh-2024.html	(from https://pdamgowa.co.id/)
10:06:44	39355/39355	---M--	200	added ('OK')	image/jpeg	etag:%2299bb-6225b5cf9e233%22	https://pdamgowa.co.id/upload/small-9ba727e5ecda8369bee1e07445eee433108950535620240918.jpg	C:/xampp/htdocs/pdamgowa/pdamgowa.co.id/upload/small-9ba727e5ecda8369bee1e07445eee433108950535620240918.jpg	(from https://pdamgowa.co.id/)
